[00:00:00.000 --> 00:00:02.439]  [BEEPING]
[02:30:33.880 --> 02:30:36.483]  Tap water is turning the frogs gay and it'll turn you gay too.
[02:30:36.523 --> 02:30:38.125]  First off, gay people are awesome.
[02:30:38.265 --> 02:30:39.667]  I don't think that's a problem at all.
[02:30:40.107 --> 02:30:44.973]  And secondly, if you noticed at the end of that video, he advertises water filters.
[02:30:46.475 --> 02:30:46.895]  Interesting.
[02:30:47.496 --> 02:30:52.321]  I have an opportunity for viewers and listeners that is the best in my 23 years on air.
[02:30:54.901 --> 02:30:56.462]  Obviously, water filtration is a great thing.
[02:30:56.502 --> 02:30:57.103]  It's a good thing.
[02:30:57.143 --> 02:31:00.366]  And I've had water filtration sponsors since the day I got on air.
[02:31:00.926 --> 02:31:03.348]  And over the years, I learned a lot about water filtration.
[02:31:03.368 --> 02:31:04.429]  I learned what the best was.
[02:31:05.129 --> 02:31:18.380]  An Alexa Pure family of stainless steel gravity filters take the already decent and good systems that were out there and took it to the next level of quality, durability, customer service, replacement filters, you name it.
[02:31:18.881 --> 02:31:23.845]  Now, the Alexa Pure Pro is their biggest, nicest stainless steel unit that does the most gallons an hour.
[02:31:24.025 --> 02:31:27.828]  For your home, business, your kitchen, your RV, whatever.
[02:31:27.908 --> 02:31:28.469]  It's amazing.
[02:31:28.949 --> 02:31:31.311]  Cuts out all the bad stuff, leaves the good stuff in, the good minerals.
[02:31:31.811 --> 02:31:34.033]  This is the gift of life, the gift of health.
[02:31:34.133 --> 02:31:34.654]  It's amazing.
[02:31:34.734 --> 02:31:35.414]  AlexaPure.
[02:31:35.634 --> 02:31:41.559]  Throw at InfoWarsLife.com or InfoWarsStore.com or call 888-253-3139.
[02:31:41.739 --> 02:31:47.644]  I don't like them putting chemicals in the water that turn the freaking frogs gay!
[02:31:47.684 --> 02:31:48.885]  Do you understand that?
[02:31:52.579 --> 02:31:54.579]  Gay frogs, friggin' frogs, boo!
[02:31:54.579 --> 02:31:55.579]  It's not funny!
[02:31:55.579 --> 02:31:57.579]  I'm gonna say it real slow for ya.
[02:31:57.579 --> 02:31:59.579]  GAY FROGS!
[02:31:59.579 --> 02:32:12.579]  Won't you fight for your life?
[02:32:12.579 --> 02:32:18.579]  Gay frogs, friggin' frogs, I don't like a frog!
[02:32:18.579 --> 02:32:25.579]  Gay friggin' frogs, frogs!
[02:32:25.579 --> 02:32:30.579]  Friggin' frog crap!
[02:32:30.579 --> 02:32:32.579]  Won't you fight the frogs?
[02:32:32.579 --> 02:32:34.579]  It's not funny!
[02:32:34.579 --> 02:32:37.579]  I'm gonna say it real slow for ya.
[02:32:37.579 --> 02:32:39.579]  FROGS!
[02:32:40.164 --> 02:32:41.585]  ...for yourself.
[02:32:41.665 --> 02:32:44.207]  I mean, this is what they're... What do you think tap water is?
[02:32:44.267 --> 02:32:45.448]  It's a gay bomb, baby!
[02:32:45.468 --> 02:32:50.192]  And I'm not saying people didn't naturally have homosexual feelings.
[02:32:50.492 --> 02:32:52.213]  I'm not even getting into it, quite frankly.
[02:32:52.313 --> 02:32:53.394]  I mean, give me a break!
[02:32:53.875 --> 02:32:58.658]  You think I'm, like, shocked by it so I'm up here bashing it because I don't like gay people?
[02:32:58.939 --> 02:33:02.902]  I don't like them putting chemicals in the water that turn the friggin' frogs gay!
[02:33:04.833 --> 02:33:08.836]  Leading a frontal assault on the lies of the New World Order.
[02:33:09.175 --> 02:33:10.935]  It's Alex Jones.
[02:33:10.935 --> 02:33:17.495]  [MUSIC]
[02:33:17.481 --> 02:33:22.224]  The novelist's worst nightmare and the Patriot's best friend, Alex Jones.
[02:33:24.846 --> 02:33:26.127]  I am on Team Humanity!
[02:33:27.176 --> 02:33:28.116]  I believe in humanity.
[02:33:28.657 --> 02:33:34.079]  When I see a neighbor with a gorgeous wife and great kids and an amazing car and house, I don't get mad at them.
[02:33:34.139 --> 02:33:36.439]  I think that's part of our shared wealth is humanity.
[02:33:37.200 --> 02:33:39.801]  Globalists don't like anybody doing well but them.
[02:33:39.821 --> 02:33:44.502]  And that's really the easiest way to describe their mindset versus ours.
[02:33:44.562 --> 02:33:47.083]  So again, thank you for joining us.
[02:33:47.724 --> 02:33:50.725]  Ladies and gentlemen, I was recently interviewed by Charlie Kirk.
[02:33:51.519 --> 02:33:53.940]  I thought it was a really, really good, informative interview.
[02:33:54.000 --> 02:33:55.080]  I think we really nailed it.
[02:33:55.520 --> 02:33:57.020]  Both he and I had hit some key points.
[02:33:57.541 --> 02:34:01.742]  So we're going to air that interview right now from start to finish.
[02:34:01.902 --> 02:34:03.522]  Please stay with us and share the links.
[02:34:04.442 --> 02:34:06.123]  Very special guest this hour.
[02:34:06.363 --> 02:34:07.463]  He needs no introduction.
[02:34:08.863 --> 02:34:15.745]  Alex Jones, author of the new book, The Great Awakening, Defeating the Globalists and Launching the Next Great Renaissance.
[02:34:15.805 --> 02:34:16.305]  I love that.
[02:34:16.385 --> 02:34:17.706]  Forward by Stephen K. Bannon.
[02:34:17.806 --> 02:34:18.886]  Alex, welcome back to the program.
[02:34:20.543 --> 02:34:21.204]  Thank you so much.
[02:34:21.224 --> 02:34:22.145]  You're doing incredible work.
[02:34:22.706 --> 02:34:23.346]  Thank you, Alex.
[02:34:23.386 --> 02:34:24.367]  So, congratulations.
[02:34:24.387 --> 02:34:28.212]  You are now back on Twitter on X. Tell us about it.
[02:34:28.272 --> 02:34:29.734]  It's a big victory for free speech.
[02:34:30.194 --> 02:34:31.916]  You were patient zero.
[02:34:32.316 --> 02:34:35.360]  They took you out, and then Trump, and then so many others.
[02:34:35.760 --> 02:34:36.701]  And now you're back.
[02:34:36.782 --> 02:34:40.145]  This is a very surprising and promising development.
[02:34:40.266 --> 02:34:41.247]  Alex, tell us all about it.
[02:34:42.674 --> 02:35:09.669]   Well, remember that Time Magazine article that came out in February of 2021, right after they'd stolen the election from the American people and President Trump, with the headline, How We Did It, and how they had PR firms and worked with neocons and everybody to basically steal the election, and how they stole it even before Election Day, with the algorithms and big tech and blocking the Hunter Biden laptop story and all the rest of it's now Part of history with the weaponization hearings.
[02:35:10.130 --> 02:35:31.450]  Well, they also bragged in a bunch of news articles and on CNN, MSNBC, how they basically chose me as the person to demonize for over two years before they then deplatformed me in one week off for over a hundred platforms led by Tim Cook of Apple, who actually gave interviews to Vice and others and bragged that he quarterbacked it.
[02:35:32.057 --> 02:35:42.320]  Then they dredged up the school shooting thing out of context from things out of context I've said years before and said that that was the reason I was deplatformed after I was deplatformed.
[02:35:42.820 --> 02:36:04.087]   So once I was off all these different systems, I was still on talk radio and still at Infowars.com every day, so I still had millions of listeners, but I was unable to get outside of that phantom zone with my core I had over 30 million subscribers on Apple to my podcast going back to like 2004 or so when I got into podcasting.
[02:36:04.107 --> 02:36:05.768]  I've been on air since 1994.
[02:36:06.188 --> 02:36:16.853]  So they annihilated all those networks, took my show from 30 million a day down to about 2 million a day, and then had rigged courts, judges already finding me guilty like we see in New York with Trump.
[02:36:17.073 --> 02:36:20.076]  And then they would have juries on damages telling them I was already guilty.
[02:36:20.096 --> 02:36:29.185]  And then they bragged on CNN, MSNBC, ABC News, and the New York Times that this is the model we're going to use on Tucker Carlson and everybody else.
[02:36:29.245 --> 02:36:33.830]  And now we've seen them using this against President Trump, but at many orders of magnitude worse.
[02:36:34.570 --> 02:36:42.653]  So the fact that the public's woken up to this, I really see as the Great Awakening, and it's about humanity realizing just how deep this corruption goes.
[02:36:42.993 --> 02:36:47.974]  And so for all of you out there that defended me when I was first being taken off air, I want to salute you.
[02:36:48.014 --> 02:36:51.535]  But most conservatives sat back and said, you know, let's not touch this guy.
[02:36:51.815 --> 02:36:52.896]  We'll get banned next.
[02:36:53.236 --> 02:36:58.257]  And they used that to when they banned the next person, the next person, the next person, and people didn't stand up for them.
[02:36:58.538 --> 02:37:00.158]  Well, finally, they were able to shut down Trump.
[02:37:00.178 --> 02:37:01.959]  Now, Trump did say what happened to me was wrong.
[02:37:02.279 --> 02:37:02.839]  That was good.
[02:37:03.579 --> 02:37:06.382]  I don't think he knew how serious the danger really was.
[02:37:06.722 --> 02:37:13.888]  But now, thanks to Elon Musk and so many others and Tucker Carlson, we really have the initiative and we're beginning to win the war.
[02:37:14.148 --> 02:37:17.971]  We haven't won the war yet, but it's like the last year of the Revolutionary War.
[02:37:18.312 --> 02:37:23.236]  We were losing the first four or five years, but we start running the tables in the last few years.
[02:37:23.576 --> 02:37:34.733]   The problem is the deep state is going to throw everything they've got at us, and Biden has said what Jack Posobiec and you have warned of, and Tucker Carlson the last six months, Daily, because I watch the shows and see the clips.
[02:37:35.134 --> 02:37:39.116]  Biden's going to take us into direct war with Russia as his October surprise.
[02:37:39.376 --> 02:37:45.740]  And the last week, Biden's come out and said, we'll be fighting and dying there if you don't give me unlimited money.
[02:37:46.040 --> 02:37:47.321]  The Secretary of State said it.
[02:37:47.581 --> 02:37:52.644]  Lloyd Austin, the Secretary of Defense, or the Secretary of Defense, he said it.
[02:37:53.064 --> 02:37:54.965]  The chairman of the Joint Chiefs has basically said it.
[02:37:55.305 --> 02:38:02.326]  They went to Congress in a closed briefing that Tucker had sources on and said, your sons and daughters will be dying within months if you don't do what we want.
[02:38:02.486 --> 02:38:05.707]  Well, they're already positioning us for direct conflict with Russia.
[02:38:05.747 --> 02:38:10.068]  We know through cut-out groups in NATO, we're already in direct confrontation.
[02:38:10.368 --> 02:38:14.588]  So that's really the central issue that we're winning the hearts and minds on the home front.
[02:38:14.888 --> 02:38:17.429]  We are really accelerating the Great Awakening.
[02:38:17.829 --> 02:38:25.232]   But the deep state is so psychotic, an alliance of leftists and BlackRock and the neocons, But they're not going to go quietly into the night, Charlie.
[02:38:26.232 --> 02:38:29.155]  Alex, I think that there's so much there to kind of unpack.
[02:38:29.195 --> 02:38:33.618]  I want to just emphasize the Twitter aspect, X aspect, with Elon.
[02:38:33.678 --> 02:38:34.999]  I loved your video, right?
[02:38:35.140 --> 02:38:38.362]  You know, you did the interview with Tucker is great, and you appealed straight to Elon.
[02:38:38.382 --> 02:38:39.723]  He said, look, I'm not even mad at you.
[02:38:39.863 --> 02:38:41.044]  I'd love to get back on.
[02:38:41.505 --> 02:38:45.368]  Elon did a poll, for those of you that aren't on X and all this, and overwhelming.
[02:38:45.428 --> 02:38:47.370]  The people wanted you back on the platform.
[02:38:48.030 --> 02:38:53.273]  And Elon really showed amazing courage to say, I am going to put Alex Jones back on.
[02:38:53.573 --> 02:38:56.135]  That doesn't help him with his advertiser boycotts and all this.
[02:38:56.715 --> 02:38:58.716]  Where do you think Elon plays into all this, Alex?
[02:38:58.736 --> 02:39:03.679]  Because some people say, oh no, he's controlled opposition, he's Chinese Communist Party, Neuralink.
[02:39:03.799 --> 02:39:11.703]  But Alex, I look at this, this is the world's richest man, or just about, depending on the day, who did something rather courageous to get you back on the platform.
[02:39:11.723 --> 02:39:12.744]  How should we think about Elon?
[02:39:16.304 --> 02:39:18.166]  That's a really important question.
[02:39:18.186 --> 02:39:19.727]  There's a lot of data that goes into it.
[02:39:19.787 --> 02:39:27.794]  I spent two and a half hours with him yesterday on Spaces and just came across as incredibly real.
[02:39:28.395 --> 02:39:36.202]  He basically agreed with everything I said and I know behind the scenes Joe Rogan went to bat for me.
[02:39:36.242 --> 02:39:41.602]   I know behind the scenes A lot of other people did, and said, you really need to look into this guy.
