[00:00:14.774 --> 00:00:21.777]  InfoWars, the most banned network in the world.
[02:12:06.445 --> 02:12:11.349]  You know, I'm going to say this right now and then I'm going to give the number out and go to your calls.
[02:12:11.349 --> 02:12:15.112]  President Trump's a great guy because I know the inside baseball.
[02:12:15.112 --> 02:12:17.014]  I know people all around him.
[02:12:17.014 --> 02:12:17.874]  I know what happens.
[02:12:17.874 --> 02:12:18.975]  I know how he gets lied to.
[02:12:18.975 --> 02:12:24.560]  I know how he signs executive orders and they throw them in the trash and later lie and say they don't know who did it.
[02:12:24.560 --> 02:12:29.824]  And as somebody that's an executive over my own operation with just less than 100 people, I know how hard it is.
[02:12:29.824 --> 02:12:32.026]  If people aren't on board with what I'm doing, I'm done.
[02:12:34.332 --> 02:12:43.920]  So I know what happened to Trump, and he got sucked into a few things that were wrong and got scammed, and I understand that as well, but he tried to launch two different social media networks.
[02:12:43.920 --> 02:12:59.492]  He tried to put in his own money, millions and millions of dollars of it each time, but all the major infrastructure, even down to software and hardware companies, would not give him access to servers or systems or anything, to where now he's having to get involved
[02:13:00.503 --> 02:13:15.274]  With the multinational dyspora of Vietnamese and Hong Kong and right-wing Chinese and others to literally go offshore to try to build a social network because he can't even do it in America.
[02:13:15.274 --> 02:13:17.956]  And that's what I've explained to listeners.
[02:13:17.956 --> 02:13:23.840]  It's taken us tens of millions of dollars extra a year with the deplatforming.
[02:13:23.840 --> 02:13:25.762]  Well, they didn't just take us off the systems.
[02:13:25.762 --> 02:13:29.685]  They scanned everything we had, everything we did, every software we used.
[02:13:30.586 --> 02:13:32.727]  Everything.
[02:13:32.727 --> 02:13:40.291]  Down to systems where, oh, you sign up for auto shipping and get 10% off, or oh, you're a member, or oh, hey, you get Patriot Points.
[02:13:40.291 --> 02:13:43.392]  All those softwares we paid for, they said you can't have them.
[02:13:43.392 --> 02:13:45.573]  All the softwares for websites, can't have them.
[02:13:45.573 --> 02:13:47.134]  All the payment processors, can't have them.
[02:13:47.134 --> 02:13:48.595]  All the credit card systems, can't have them.
[02:13:48.595 --> 02:13:55.818]  I mean, we don't get up here and make a big deal about this, because it's just an ongoing war against us that we know is a beta test for you.
[02:13:55.818 --> 02:13:58.179]  So now Trump has raised $2 billion.
[02:14:01.158 --> 02:14:02.820]  To set up his own social network.
[02:14:02.820 --> 02:14:08.605]  And I sure hope that they let Gab be on there and Rumble be on there and InfoWars.
[02:14:08.605 --> 02:14:12.128]  But if it's the past stuff and the people around Trump, it won't be.
[02:14:12.128 --> 02:14:18.734]  And so it'll just be building something else just like what censored Trump.
[02:14:18.734 --> 02:14:25.379]  And if Trump does that, I'll be done with him.
[02:14:25.379 --> 02:14:26.020]  But you know what?
[02:14:26.020 --> 02:14:26.921]  We're not going to sit there.
[02:14:26.921 --> 02:14:27.982]  We're not going to count on Trump.
[02:14:30.148 --> 02:14:37.860]  We sure hope things go well and we like Trump and we'll see what he does, but we are going to do it ourselves.
[02:14:37.860 --> 02:14:42.707]  And it takes a lot of money and a lot of energy and a lot of hardware to get things done.
[02:14:42.707 --> 02:14:44.690]  And if I had $20 million extra.
[02:14:47.045 --> 02:14:55.793]  We could give you something built offshore that would rival anything else you see out there and that would be next level.
[02:14:55.793 --> 02:14:57.534]  Just as good as Rumble or better.
[02:14:57.534 --> 02:14:59.036]  And I'm not in competition with Rumble.
[02:14:59.036 --> 02:15:01.318]  I hope Rumble continues to grow and explode and it's amazing.
[02:15:01.318 --> 02:15:02.279]  I'm not in competition with Gab.
[02:15:02.279 --> 02:15:04.180]  They're wonderful and they go through hell to be there.
[02:15:04.180 --> 02:15:06.142]  We support them all and we're on those platforms.
[02:15:06.142 --> 02:15:09.065]  Be sure and follow us there and share the information there.
[02:15:12.298 --> 02:15:13.979]  We've had to build our own infrastructure.
[02:15:13.979 --> 02:15:17.400]  They know we've got a launch pad to go to the next level, but they're trying to shut it down and destroy it.
[02:15:17.400 --> 02:15:20.581]  And we need money in now to make sure that happens.
[02:15:20.581 --> 02:15:21.981]  So get a coffee cup.
[02:15:21.981 --> 02:15:23.422]  Get a Save the Frogs t-shirt.
[02:15:23.422 --> 02:15:25.202]  Get an InfoWars shirt.
[02:15:25.202 --> 02:15:26.423]  Get some of the great supplements.
[02:15:26.423 --> 02:15:27.763]  Get your storable food from us.
[02:15:27.763 --> 02:15:29.084]  It's great quality.
[02:15:29.084 --> 02:15:30.644]  The lowest price you're going to find for quality food.
[02:15:30.644 --> 02:15:32.005]  Ready to ship right now.
[02:15:32.005 --> 02:15:33.865]  Get in before all the inflation.
[02:15:33.865 --> 02:15:35.026]  InfoWarsStore.com.
[02:15:36.286 --> 02:15:40.109]  I'm sitting here, it's in the early morning hours, and I'm looking at mainstream news.
[02:16:05.544 --> 02:16:20.300]  Reporting on the fact that even the controlled revolving door FDA has come out and said that the Moderna and Pfizer shots need to be held up and not authorized for children because in studies they did on children it caused myocarditis, that's heart swelling and heart attacks.
[02:16:21.556 --> 02:16:30.662]  And then I noticed that even though this is even in the Associated Press, it's not getting any circulation, it's not on the national news, and it's very hard to even find on places like Instagram or Twitter.
[02:16:30.662 --> 02:16:31.643]  It's just crazy.
[02:16:31.643 --> 02:16:40.729]  And then Fauci was on TV just yesterday saying there's no damage from the vaccines, it doesn't hurt anybody, you're a conspiracy theorist if you say it.
[02:16:40.729 --> 02:16:42.090]  It's just crazy.
[02:16:42.090 --> 02:16:46.993]  And then we have all the scientists who over a year ago came out and said these vaccines are going to cause heart problems.
[02:16:46.993 --> 02:16:49.195]  They gave the exact reasons why and now it happened.
[02:16:49.995 --> 02:16:51.977]  That's why InfoWars is on air.
[02:16:51.977 --> 02:16:55.000]  Because if we weren't on air, they'd get away with even more of this crap.
[02:16:55.000 --> 02:16:56.021]  This is just insane.
[02:16:56.021 --> 02:16:56.822]  These people are killers.
[02:16:57.298 --> 02:17:05.765]  We here at InfoWars are proud to announce the first ever Kava Kava Root Supplement that is now available at InfoWarsStore.com.
[02:17:05.765 --> 02:17:16.314]  Kava is one of the hottest new breakthroughs in the natural health world today, though it has been used for hundreds of years in the Pacific Islands for its relaxation and euphoric effects.
[02:17:16.314 --> 02:17:25.963]  According to ancient Samoan legend, Kava was given as a gift by the sun god Tagaloa, who they considered to be the supreme ruler and creator of the universe.
[02:17:26.303 --> 02:17:32.266]  The Samoan people would drink kava tea during social gatherings and sacred ceremonies to loosen up a little.
[02:17:32.266 --> 02:17:37.109]  Nowadays, kava is used around the world by many who enjoy its serious benefits.
[02:17:37.109 --> 02:17:41.171]  The new Kava Chill by Dr. Jones Naturals contains a full blend of
[02:17:41.411 --> 02:17:49.797]  Not only Cava Cava, but other herbs including, but not limited to, German Chamomile, Organic Skullcap, and Bavarian Root.
[02:17:49.797 --> 02:17:56.141]  We do expect to sell this new product quickly, so be sure to secure yours by visiting InfoWarsStore.com.
[02:17:57.182 --> 02:18:01.584]  By now you've heard me talk about the BioPros and how they're creating amazing products.
[02:18:01.584 --> 02:18:10.509]  They've done it again and have just released an entire suite of bioremediation products, bringing industrial-level technology to the everyday consumer.
[02:18:10.509 --> 02:18:14.691]  They're literally changing the industry with a revolutionary patented delivery system.
[02:18:14.691 --> 02:18:23.036]  The BioPros are excited to release BioDrain Pro, a product specifically designed to establish healthy drains, pipes, and overall plumbing systems.
[02:18:23.516 --> 02:18:30.064]  BioDrain Pro digests grease, fats, oil, sludge, paper, and organic matter with ease.
[02:18:30.064 --> 02:18:37.172]  It contains no chemicals, no GMOs, and is safe for black, gray holding tanks, sewer hoses, and plumbing.
[02:18:37.172 --> 02:18:39.294]  It is also human and animal safe.
[02:18:39.294 --> 02:18:43.019]  Get up to 20 treatments with the scoop for easy applications.
[02:18:43.539 --> 02:18:47.501]  Say goodbye to drain problems, gas buildup, and odor.
[02:18:47.501 --> 02:18:48.862]  Guaranteed.
[02:18:48.862 --> 02:18:50.243]  Just pour and add water.
[02:18:50.243 --> 02:18:51.123]  It's that simple.
[02:18:51.123 --> 02:18:53.625]  Visit thebiopros.com and see for yourself.
[02:18:56.581 --> 02:19:01.002]  By now you've heard me talk about the BioPros and how they're creating amazing products.
[02:19:01.002 --> 02:19:09.904]  They've done it again and have just released an entire suite of bioremediation products, bringing industrial-level technology to the everyday consumer.
[02:19:09.904 --> 02:19:14.286]  They're literally changing the industry with a revolutionary patented delivery system.
[02:19:14.286 --> 02:19:23.588]  The BioPros are excited to release BioMarine Pro, a product specifically designed to create healthy black and or gray water holding tanks.
[02:19:24.704 --> 02:19:30.108]  Biomarine Pro digests grease, fats, oil, sludge, paper, and organic matter with ease.
[02:19:30.108 --> 02:19:33.932]  Get up to 20 treatments coupled with an easy application scoop.
[02:19:33.932 --> 02:19:35.033]  Just pour and flush.
[02:19:35.033 --> 02:19:36.193]  It's that simple.
[02:19:36.193 --> 02:19:42.779]  It contains no chemicals and no GMOs and is safe for black-gray holding tanks, sewer hoses, and plumbing.
[02:19:42.779 --> 02:19:45.121]  It is also human and animal safe.
[02:19:45.121 --> 02:19:49.204]  Say goodbye to holding tank problems, gas buildup, and odor.
[02:19:49.204 --> 02:19:51.006]  Guaranteed.
[02:19:51.006 --> 02:19:53.528]  Visit thebiopros.com and see for yourself.
[02:20:00.266 --> 02:20:15.671]  You're listening to the Alex Jones Show.
[02:20:15.671 --> 02:20:18.111]  All right.
[02:20:18.111 --> 02:20:21.532]  I want to give the number out.
[02:20:21.532 --> 02:20:29.655]  And I want to take your calls on specifically what you think we need to do to get out of this position where
[02:20:30.953 --> 02:20:49.562]  The UN, the whole Bill Gates, globalist, Rockefeller combine, can make these deadly viruses, release them, and then hold us hostage with world government, world ID, while they depopulate us with the viruses and the injections themselves.
[02:20:49.562 --> 02:20:53.744]  Because the only way to carry out depopulation like this is to pose as the saviors.
[02:20:53.744 --> 02:20:57.526]  It's the perfect plan, and it's again in Operation Lockstep.
[02:20:57.526 --> 02:21:00.068]  So we have a right and a duty to stand up against these people.
[02:21:00.939 --> 02:21:03.561]  And as Malcolm X said, by any means necessary.
[02:21:03.561 --> 02:21:05.583]  I mean, they're assaulting us, they're attacking us.
[02:21:05.583 --> 02:21:13.769]  I mean, imagine 20 years ago, we told you they're going to come give you force inoculations that give you heart attacks and don't even protect you from the disease they claim they're giving it.
[02:21:13.769 --> 02:21:18.052]  For a World ID to buy and sell, you'd say that's the Antichrist.
[02:21:18.052 --> 02:21:22.936]  But this is a spiritual issue about changing the heart and the soul from the inside out.
[02:21:22.936 --> 02:21:27.760]  Not about having a civil war where we just kill the police.
[02:21:28.973 --> 02:21:32.635]  The police are the main target of the globalists because they're taking them over right now.
[02:21:32.635 --> 02:21:35.717]  We have to get control of the central government.
[02:21:35.717 --> 02:21:37.018]  And we're very close to doing that.
[02:21:37.018 --> 02:21:39.160]  That's why they had to steal the election.
[02:21:39.160 --> 02:21:40.821]  Trump was a big beachhead.
[02:21:40.821 --> 02:21:50.007]  But he got the globalists off their butt and all their minions off their butt and all the spooks of the government off their butt to come and do a counterinsurgency on us as they call it.
