[00:00:03.271 --> 00:00:05.958]  Waging war on corruption.
[02:20:44.287 --> 02:20:45.667]  I didn't believe I'd have killed my kids.
[02:20:45.667 --> 02:20:47.328]  I believed the propaganda.
[02:20:47.328 --> 02:20:48.868]  I don't judge people that have that abortion.
[02:20:48.868 --> 02:20:51.089]  God judges the heart.
[02:20:51.089 --> 02:20:53.269]  People ask, like, why the hell would you admit that on air?
[02:20:53.269 --> 02:20:56.410]  Because he without sin cast the first stone.
[02:20:56.410 --> 02:20:57.390]  But I repent for it.
[02:20:58.479 --> 02:21:02.100]  And I said I'd never do that again, and I've got four children.
[02:21:02.100 --> 02:21:04.880]  They could tell me I had a Down Syndrome child.
[02:21:04.880 --> 02:21:06.841]  I'm gonna keep that child and love that child.
[02:21:06.841 --> 02:21:08.421]  I don't have a Down Syndrome child.
[02:21:08.421 --> 02:21:09.641]  I don't ask for that from God.
[02:21:09.641 --> 02:21:11.702]  I'm saying I would take care of that child.
[02:21:11.702 --> 02:21:15.743]  People say they're the most loving children you can imagine.
[02:21:15.743 --> 02:21:25.665]  But if you hadn't been out to a pro-abortion rally, I suggest you go to one.
[02:21:25.665 --> 02:21:26.805]  And I'm gonna tell you something right now.
[02:21:28.456 --> 02:21:31.038]  There's a lot of anti-white talk out there.
[02:21:31.038 --> 02:21:33.979]  A lot of racism towards white people.
[02:21:33.979 --> 02:21:36.281]  And it's meant to create division in this country, in this world.
[02:21:36.281 --> 02:21:43.285]  And I think white people are good folks on average and have done a lot of good things and contribute to society.
[02:21:43.285 --> 02:21:49.669]  But when you go out to one of these events, they're almost all white.
[02:21:49.669 --> 02:21:51.310]  And they're not just licking their lips when you're around.
[02:21:54.048 --> 02:21:59.592]  They love killing kids, and they love the power of chopping them up, and they're demons.
[02:21:59.592 --> 02:22:04.435]  And they're almost all white.
[02:22:04.435 --> 02:22:11.019]  And I don't even know why I'm making that point.
[02:22:11.019 --> 02:22:18.364]  It's just that something's going on here, and all I can do is scientifically observe what's happening.
[02:22:18.364 --> 02:22:19.985]  But you just saw a woman, if you tuned in,
[02:22:22.065 --> 02:22:29.970]  And we've got dozens of these videos just at the event saying, oh, kill kids after they're born, kill them anytime, kill old people, you know, case for killing granny, cover a Newsweek.
[02:22:29.970 --> 02:22:31.290]  And it's just, kill everybody!
[02:22:31.290 --> 02:22:41.076]  And it's always these weak, super white-skinned, chicken-necked, zombie-looking people telling you how much they want to kill kids!
[02:22:41.076 --> 02:22:43.998]  And they're always anti... they're just a scourge!
[02:22:43.998 --> 02:22:45.218]  They're bad people!
[02:22:45.218 --> 02:22:48.600]  And they're tuned into something evil, folks.
[02:22:48.600 --> 02:22:51.162]  Because they don't have... I mean, these aren't the liberals of old.
[02:22:52.824 --> 02:22:57.430]  These are screwballs, and their sacrament is dead babies.
[02:22:57.430 --> 02:22:58.872]  Oh, you're going to ride shotgun the rest of the hour.
[02:22:58.872 --> 02:23:05.139]  I want to go to Dan Lyman at EuropeWars.com, the incredible job he does as our main reporter in England.
[02:23:05.139 --> 02:23:11.467]  Talk about the big victories against the globalists, but will you experience the radical Islam's evil that just loves death?
[02:23:12.233 --> 02:23:15.397]  And the left's allied with it, and they act demon-possessed.
[02:23:15.397 --> 02:23:16.739]  It really is a spirit.
[02:23:16.739 --> 02:23:18.662]  It's a chomping at the bit.
[02:23:18.662 --> 02:23:19.383]  Let me ask Dan Lyman.
[02:23:19.383 --> 02:23:21.185]  We'll get into the elections next segment.
[02:23:21.185 --> 02:23:22.667]  But Dan, you live in Europe.
[02:23:22.667 --> 02:23:24.429]  You've been all over it.
[02:23:24.429 --> 02:23:26.632]  Before you even worked for us, you were a big reporter.
[02:23:26.632 --> 02:23:27.594]  You've covered Davos.
[02:23:27.594 --> 02:23:28.014]  You name it.
[02:23:28.835 --> 02:23:31.116]  This is a whole other subject you didn't know you were getting on involved.
[02:23:31.116 --> 02:23:36.137]  We have all these videos of the average person at a pro-abortion rally now.
[02:23:36.137 --> 02:23:38.118]  Their operating system is Satanism.
[02:23:38.118 --> 02:23:46.881]  They have a new movie out called Hell Satan where they admit the Democratic Party's new move is to get people to register in the satanic party and you know it's their operating system and some of them make it tongue-in-cheek but
[02:23:47.421 --> 02:23:53.165]  They're converting to this, and you've got ISIS eating hearts and putting women in sex slavery and children.
[02:23:53.165 --> 02:23:59.589]  It just really does come back to good versus evil in my view, and I don't think the average person who hasn't been on the front lines has witnessed this.
[02:23:59.589 --> 02:24:00.529]  You've been on the front lines.
[02:24:00.529 --> 02:24:01.230]  This isn't scripted.
[02:24:01.230 --> 02:24:02.230]  I don't know what you're going to say.
[02:24:02.230 --> 02:24:04.392]  I don't even know your religious background.
[02:24:04.392 --> 02:24:06.293]  I know you're a great reporter.
[02:24:06.293 --> 02:24:07.834]  Met you a few times in person.
[02:24:07.834 --> 02:24:11.516]  Followed your work for many years before you worked for us, but what do you add to this?
[02:24:11.516 --> 02:24:15.519]  Do you disagree with me that it's spiritual, or have you ever seen this, these people, the way they act?
[02:24:17.599 --> 02:24:18.039]  100% Alex.
[02:24:18.039 --> 02:24:28.023]  I say with anyone that I'm having a candid conversation with that politics is just the playing field, but the real war that's going on behind the scenes is spiritual.
[02:24:28.023 --> 02:24:34.425]  And at this point, I think that's clearer than ever, especially with this battle between globalists and nationalists at this point.
[02:24:34.425 --> 02:24:35.605]  I think the nation-state
[02:24:36.165 --> 02:24:36.845]  Yeah, absolutely.
[02:24:54.358 --> 02:25:03.964]  For their movement and their agenda, it would be even less popular, but they have to rely on subversion and sabotage and lying in order to advance the football at all.
[02:25:03.964 --> 02:25:13.029]  But I think people are starting to see through that now, and this is definitely a battle between good and evil that is playing out on the political battlefield right now.
[02:25:13.029 --> 02:25:17.532]  So, nationalism versus globalism is good versus evil.
[02:25:17.532 --> 02:25:22.315]  That's the headline for this segment and the next few, and you're going to have the floor when we come back.
[02:25:25.185 --> 02:25:26.706]  It doesn't seem like it is.
[02:25:26.706 --> 02:25:27.827]  People are choosing sides.
[02:25:27.827 --> 02:25:29.208]  There is a polarization.
[02:25:29.208 --> 02:25:31.609]  Well, the Bible says that, and common sense says it.
[02:25:31.609 --> 02:25:33.391]  You do want a polarization.
[02:25:33.391 --> 02:25:38.414]  Either your wife loves you, or your husband loves you, or either the company you work for cares about you, or they don't.
[02:25:38.414 --> 02:25:39.455]  We need polarization.
[02:25:39.455 --> 02:25:41.416]  We need to make stuff black and white here, dammit!
[02:25:42.432 --> 02:25:48.816]  Well, again, I didn't get into this to do spiritual things or to talk about God or anything like that.
[02:25:48.816 --> 02:25:51.017]  I got into this for political reasons.
[02:25:51.017 --> 02:25:55.580]  Oh, I mean, when you were out there with the most viral guy on the internet three, four years ago, you were just covering nothing but free speech.
[02:25:56.423 --> 02:26:02.286]  And over time, you know, it's just been more and more of a spiritual battle to me.
[02:26:02.286 --> 02:26:04.547]  And there's so much other stuff that goes on too.
[02:26:04.547 --> 02:26:07.088]  I mean, you know, I meet the people at an event like yesterday.
[02:26:07.088 --> 02:26:08.529]  They talk about how they pray for us.
[02:26:08.529 --> 02:26:11.590]  I can't even tell, I can't even explain how much that fills my heart.
[02:26:11.590 --> 02:26:12.551]  Is it not humbling though?
[02:26:13.271 --> 02:26:15.032]  It gives me all the confidence I need.
[02:26:15.032 --> 02:26:25.037]  And, you know, again, it's like, I don't know how to explain it, but when this happened yesterday and people saw these flyers around town with my address on it, they were like, are you scared?
[02:26:25.037 --> 02:26:25.898]  Like, you know, do you need help?
[02:26:25.898 --> 02:26:26.538]  We're praying for you.
[02:26:26.538 --> 02:26:29.179]  I'm like, look, your prayers is all I need.
[02:26:29.179 --> 02:26:32.381]  You know, I've got a Second Amendment here and, you know, hopefully I don't have to use it.
[02:26:32.381 --> 02:26:35.943]  But honestly, your prayers are more important than than anything that I can do.
[02:26:35.943 --> 02:26:36.463]  Let me guess.
[02:26:36.463 --> 02:26:40.145]  I bet you're sleeping better than ever.
[02:26:40.145 --> 02:26:41.726]  I can't believe you just said that, Alex.
[02:26:43.536 --> 02:26:45.158]  Is it true?
[02:26:45.158 --> 02:26:47.401]  Uh, more than you actually realize, probably.
[02:26:47.401 --> 02:26:49.543]  Oh, what's funny?
[02:26:49.543 --> 02:26:50.945]  I sleep better when I'm under attack.
[02:26:52.029 --> 02:26:59.033]  Uh, no, I actually have, I've actually, throughout my life, really, last five years or so, have, uh, have dealt with, actually, serious insomnia.
[02:26:59.033 --> 02:27:00.393]  I didn't know that.
[02:27:00.393 --> 02:27:06.396]  And after, after this weekend, I slept for the first time, actually, I'll say it on air, in seven days.
[02:27:06.396 --> 02:27:07.157]  See?
[02:27:07.157 --> 02:27:10.318]  Because your spirit was restless, now you're on your mission.
[02:27:10.318 --> 02:27:11.319]  You see how that works?
[02:27:11.319 --> 02:27:15.121]  People that are, people that are bad, I'm not saying you were bad before, you were on your mission, they have trouble sleeping.
[02:27:15.121 --> 02:27:17.362]  You get on your mission, you'll sleep like a dead pharaoh, my friend.
[02:27:17.984 --> 02:27:20.605]  And if the mission is foggy, you can't sleep at all.
[02:27:20.605 --> 02:27:25.728]  And I think that what it comes down to, though, Alex, again, I didn't get in this for spiritual reasons.
[02:27:25.728 --> 02:27:29.170]  I got in this because I was more of an operative in the 3D world.
[02:27:29.170 --> 02:27:35.433]  I was a worldly person, and I just saw the fake news, and I saw where the country was going, and I just wanted to have freedom for the future.
[02:27:35.433 --> 02:27:37.374]  But it becomes more and more spiritual every day.
[02:27:37.374 --> 02:27:38.914]  And it's just sad.
[02:27:38.914 --> 02:27:42.616]  I mean, I remember I met Dan in Cleveland at the RMC in 2016.
[02:27:42.616 --> 02:27:44.537]  We were walking around, man.
[02:27:44.537 --> 02:27:45.718]  We walked around in our Trump hats.
[02:27:46.318 --> 02:27:49.382]  The Trump protesters back then were just as hateful.
[02:27:49.382 --> 02:27:50.704]  Yeah, F you!
[02:27:50.704 --> 02:27:52.906]  Screw you, Nazi!
[02:27:52.906 --> 02:27:57.232]  And it's just like, man, I'm just out here because I like a guy for president.
[02:27:57.232 --> 02:27:59.574]  Like, what the heck did I do that's so bad?
[02:27:59.574 --> 02:28:02.178]  But then you realize that it's a spiritual battle.
[02:28:02.178 --> 02:28:03.659]  Trump is being prayed for every day.
[02:28:03.659 --> 02:28:05.562]  Trump is bringing God back into the White House.
[02:28:05.922 --> 02:28:08.285]  Oh, there's no doubt Trump was anointed.
[02:28:08.285 --> 02:28:10.648]  There's no doubt M4 was the enemy.
[02:28:10.648 --> 02:28:12.511]  We have the mark on us of God.
[02:28:12.511 --> 02:28:15.354]  Doesn't mean we're perfect, but we've been chosen.
[02:28:15.354 --> 02:28:16.716]  That's why they're so pissed, man.
[02:28:16.716 --> 02:28:17.997]  They see it.
[02:28:17.997 --> 02:28:19.780]  They're spiritually dead and they see it.
[02:28:20.913 --> 02:28:23.354]  We're gonna go to break, come back with Dan Lyman, give him the floor.
[02:28:23.354 --> 02:28:24.035]  He's joined us.
[02:28:24.035 --> 02:28:25.516]  Amazing news on Europe.
[02:28:25.516 --> 02:28:26.536]  This is real, folks.
[02:28:26.536 --> 02:28:28.237]  This is about your soul.
[02:28:28.237 --> 02:28:31.159]  And, uh, you gotta go out to these abortion rallies, man.
[02:28:31.159 --> 02:28:35.801]  It's not like 10% or 20%, about half of them, you'll think, okay, they're doing this to shock me.
[02:28:35.801 --> 02:28:40.164]  And then all of a sudden, you'll get footage by one of your other camera folks that doesn't say they're with you.
[02:28:40.164 --> 02:28:42.645]  And they're like going, I just want to murder the babies.
[02:28:42.645 --> 02:28:43.866]  I hate children.
[02:28:43.866 --> 02:28:45.207]  Dirty filth.
[02:28:45.207 --> 02:28:48.068]  Once they start talking, I hate the way babies talk.
[02:28:48.068 --> 02:28:49.029]  I want to cut them up.
[02:28:49.309 --> 02:28:50.050]  You heard her earlier.
[02:28:50.050 --> 02:28:55.233]  She's like, once they start running, they're dirty little MOVES!
[02:28:55.233 --> 02:28:59.776]  If you are trying to quit drinking or doing too many drugs, listen to me.
[02:28:59.776 --> 02:29:01.878]  You don't know me and we'll never meet.
[02:29:01.878 --> 02:29:03.619]  I had a problem like you once.
[02:29:03.619 --> 02:29:10.164]  I drank and used to party a little too much till it got out of control and almost ruined my life.
[02:29:10.164 --> 02:29:15.247]  I realized I needed help to fix my problem before it totally destroyed me.
[02:29:15.247 --> 02:29:19.070]  If you've tried to fix your drinking and drug problem and you know you can't
[02:29:19.070 --> 02:29:20.371]  You can't do it alone.
[02:29:20.371 --> 02:29:23.494]  You need to call the National Treatment Advisors.
[02:29:23.494 --> 02:29:30.500]  They'll immerse you into a 30-day program to replace your old habits with new habits and totally change your life.
[02:29:30.500 --> 02:29:35.685]  And if you have PPO private health insurance, the entire program may be covered.
[02:29:35.685 --> 02:29:38.988]  Fix your problem right now before it gets any worse.
[02:29:38.988 --> 02:29:39.949]  Get clean.
[02:29:39.949 --> 02:29:41.770]  Call now and learn more.
[02:29:41.770 --> 02:29:41.810]  800-506-6740.
[02:29:45.874 --> 02:29:46.254]  800-506-6740 That's 800-506-6740
[02:29:58.132 --> 02:30:02.753]  It's never been easy to figure out the essentials of a new supplement routine.
[02:30:02.753 --> 02:30:10.474]  That's why we created the 8-Pack Power Stack, your go-to option for the building blocks of a successful approach to supplementation.
[02:30:10.474 --> 02:30:18.116]  This one-stop shop for those looking to simplify or adjust their routine is perfect for new and old InfoWarriors alike.
[02:30:18.116 --> 02:30:24.637]  With the 8-Pack Power Stack, there's no trial and error, messy bottles laying across the counter, or 20-minute morning habits.
