[00:00:17.682 --> 00:00:18.102]  We did it!
[02:32:10.714 --> 02:32:15.597]  Three days after the election of Donald Trump and the reality of a Trump presidency is starting to hit home.
[02:32:15.837 --> 02:32:21.021]  For some people this is such a devastating notion that they need to call an ambulance or even want to die.
[02:32:21.241 --> 02:32:24.863]  Well, we Trump voters care about our fellow Americans and we're pained by this.
[02:32:25.144 --> 02:32:26.745]  So let's help the Trump protesters.
[02:32:27.045 --> 02:32:29.446]  Let's try to help them recover from their devastation.
[02:32:29.666 --> 02:32:31.828]  If you see a Trump protester or a group of them,
[02:32:31.988 --> 02:32:34.709]  Give them a diaper, hand them a binky, cover them in a blankie.
[02:32:34.869 --> 02:32:37.009]  After all, this is what you do for crying babies.
[02:32:37.309 --> 02:32:40.710]  Many of these people look like they need a hug, so give them a box of huggies.
[02:32:41.070 --> 02:32:48.472]  We Trump voters can't stand to see our fellow Americans so depleted, so we will make sure to get as many of them a warm bottle of milk as possible.
[02:32:48.672 --> 02:32:54.854]  To make America great again, we must make sure that these babies are taken care of with plenty of diapers, binkies, and rattles.
[02:32:55.174 --> 02:32:56.456]  Don't worry, Trump protesters.
[02:32:56.757 --> 02:33:00.182]  Remember, we're stronger together, even if you do have to wear a diaper.
[02:33:00.362 --> 02:33:02.886]  This is Owen Schroer from InfoWars.com.
[02:33:03.647 --> 02:33:05.090]  This message is paid for by the Russians.
[02:33:25.254 --> 02:33:26.675]  We are on the march.
[02:33:27.055 --> 02:33:29.456]  The empire is on the run.
[02:33:30.216 --> 02:33:33.938]  Alex Jones and the GCN Radio Network.
[02:33:40.760 --> 02:33:49.524]  The same rigged media that incited these riots in the first place with their hysterical propaganda about Donald Trump being literally Hitler
[02:33:50.796 --> 02:34:10.609]  Has not only created the conditions to legitimize those riots, as they did with Ferguson and the whole Black Lives Matter issue, they're now literally rigging, hoaxing media segments to create this narrative that these people have a legitimate grievance and that Hillary Clinton should demand that the election result be overturned.
[02:34:11.049 --> 02:34:16.713]  They're actually hoaxing media segments to try and run that scam on live television.
[02:34:17.253 --> 02:34:18.494]  We're going to go to that clip in a minute.
[02:34:18.514 --> 02:34:28.460]  I just want to tell you about the products at InfoWarsStore.com and InfoWarsLife.com because we've extended the election super specials to help defend liberty.
[02:34:29.041 --> 02:34:37.066]  We're now sold out of many of the InfoWarsLife formulas like Knockout, but we have extended most of our top-selling super specials at InfoWarsStore.com.
[02:34:37.586 --> 02:34:43.891]  There's no question that Hillary and the globalists will not lay down and accept defeat and a counter-attack is imminent.
[02:34:44.750 --> 02:34:52.753]  As I just explained, it's already happening with the riots, with the demands for Hillary to ask that the election result be overturned.
[02:34:53.714 --> 02:34:54.674]  We need to keep fighting.
[02:34:54.714 --> 02:34:55.635]  This is only the beginning.
[02:34:55.695 --> 02:34:58.015]  I told you about this with Brexit and look what happened.
[02:34:58.216 --> 02:34:59.736]  They're trying to overturn Brexit.
[02:35:00.396 --> 02:35:03.818]  They may even try to overturn this if we don't stay on the front foot.
[02:35:04.892 --> 02:35:08.754]  And of course you can help us do that by getting the products at InfoWarsLife.com.
[02:35:09.174 --> 02:35:13.856]  Help defend liberty and support InfoWars against coming attacks while getting super high quality products.
[02:35:13.896 --> 02:35:17.618]  And you can go on the website, read the five-star reviews.
[02:35:17.678 --> 02:35:21.240]  We don't have time to fake our own reviews like a lot of websites do.
[02:35:21.280 --> 02:35:28.983]  They're authentic, original, five-star reviews from people who have got the products and who are really having benefits from them.
[02:35:29.003 --> 02:35:30.484]  30% off Supermail Vitality.
[02:35:30.504 --> 02:35:31.084]  30% off DNA Force.
[02:35:33.617 --> 02:35:36.639]  30-40% off InfoWars Select Storable Food.
[02:35:37.259 --> 02:35:39.560]  Again, the government's storing food, why shouldn't you do it?
[02:35:40.240 --> 02:35:43.562]  If nothing happens, then you just eat the food and you save a ton of money anyway.
[02:35:43.642 --> 02:35:44.242]  It's win-win.
[02:35:45.062 --> 02:35:46.983]  30% off Survival Shield X2.
[02:35:47.963 --> 02:35:51.145]  30% off Pro Pure King Water Filters.
[02:35:51.625 --> 02:35:54.506]  And 15% off all Molon Labe Apparel.
[02:35:55.047 --> 02:35:57.728]  Those great t-shirts, conversation starters, and again,
[02:35:58.328 --> 02:36:06.550]  We're not funded by MoveOn.org, we're not funded to the tune of hundreds of millions of dollars by George Soros, yet we're kicking his ass on a daily basis.
[02:36:07.430 --> 02:36:08.050]  Why is that?
[02:36:08.550 --> 02:36:10.671]  It's thanks to you getting the products.
[02:36:10.731 --> 02:36:11.891]  This is not a cliche.
[02:36:12.211 --> 02:36:15.011]  When I started working here, there were literally two employees.
[02:36:15.692 --> 02:36:17.212]  And that wasn't even that long ago.
[02:36:17.812 --> 02:36:19.452]  You know, 10, 11, 12 years ago.
[02:36:20.132 --> 02:36:22.133]  Look at what we've achieved after that.
[02:36:22.873 --> 02:36:31.402]  And it's solely down to you supporting us, helping us to grow this network by getting the product at infowarsstore.com.
[02:36:31.422 --> 02:36:37.888]  So please continue to support us as we move forward in this battle, in this war.
[02:36:38.148 --> 02:36:39.890]  And the election was only part of the battle.
[02:36:40.471 --> 02:36:41.572]  The battle goes on.
[02:36:42.912 --> 02:37:01.442]  And it goes on with the rigged media now trying to hoax this narrative that Hillary Clinton has a legitimate grievance that she should be president, that they're going to try and pressure the Electoral College into changing the rules after the game's already finished by just handing her the presidency.
[02:37:02.022 --> 02:37:08.266]  Yes, it's extremely unlikely, but if we allow this narrative to gain a foothold, it's only going to grow like a tumour.
[02:37:09.046 --> 02:37:09.887]  So this is CNN.
[02:37:11.403 --> 02:37:18.810]  Interviewing a supposedly organic, authentic, anti-Trump, pro-Hillary protester on the street.
[02:37:19.431 --> 02:37:34.205]  Now listen to this guy and specifically listen to the end of the interview when Don Lemon, the host, starts talking and admits that this so-called organic protester is in fact a CNN employee, a cameraman.
[02:37:34.385 --> 02:37:35.326]  Let's go to the clip.
[02:37:36.406 --> 02:37:38.247]  So you don't feel like this was a fair election?
[02:37:38.267 --> 02:37:40.928]  Because it looks like Donald Trump won fair and square.
[02:37:41.108 --> 02:37:42.409]  How did he win fair and square?
[02:37:42.709 --> 02:37:43.870]  Hillary had more votes.
[02:37:43.950 --> 02:37:45.890]  More human beings voted for Hillary.
[02:37:46.211 --> 02:37:46.951]  This isn't fair.
[02:37:47.411 --> 02:37:48.432]  We didn't get one vote.
[02:37:48.652 --> 02:37:49.452]  You didn't get a vote.
[02:37:49.672 --> 02:37:52.053]  It's just like back in the day when your vote was one-third.
[02:37:52.073 --> 02:37:54.534]  The Electoral College, here's somebody who wants to blow that up.
[02:37:54.635 --> 02:37:55.815]  You want to get rid of the Electoral College?
[02:37:55.895 --> 02:37:56.956]  Just count the votes.
[02:37:57.076 --> 02:37:57.736]  It's ridiculous.
[02:37:57.776 --> 02:37:58.856]  Hillary, you're a lawyer.
[02:37:58.977 --> 02:37:59.477]  Walk in.
[02:38:00.437 --> 02:38:01.717]  Go to the Supreme Court.
[02:38:02.098 --> 02:38:03.118]  I believe in you, Hillary.
[02:38:03.198 --> 02:38:04.098]  I've been to Rwanda.
[02:38:04.218 --> 02:38:05.939]  I've been to your hospital in Rwanda.
[02:38:06.139 --> 02:38:07.379]  I've seen all the good you've done.
[02:38:07.559 --> 02:38:08.199]  I believe in you.
[02:38:08.299 --> 02:38:09.079]  Women need you.
[02:38:09.279 --> 02:38:10.240]  Minorities need you.
[02:38:10.560 --> 02:38:11.160]  I need you.
[02:38:11.340 --> 02:38:12.260]  Chicago needs you.
[02:38:12.300 --> 02:38:13.020]  We all need you.
[02:38:13.060 --> 02:38:19.142]  This country needs you to stand up and walk into the Supreme Court and say one vote equals one vote.
[02:38:19.662 --> 02:38:20.523]  What's wrong with that?
[02:38:20.703 --> 02:38:21.463]  What's the debate?
[02:38:49.025 --> 02:38:49.785]  There you have it.
[02:38:50.225 --> 02:38:52.726]  Rigged media trying to create a hoax.
[02:38:53.186 --> 02:38:55.107]  And you know, he kind of over-egged it, didn't he?
[02:38:55.147 --> 02:38:56.087]  I mean, let's be honest.
[02:38:56.648 --> 02:39:03.230]  He kind of gave it a bit too much when he was playing that role of this irate anti-Trump agitator.
[02:39:03.250 --> 02:39:04.550]  Has he hurt Don Lemon?
[02:39:05.230 --> 02:39:05.971]  I know that guy!
[02:39:06.111 --> 02:39:07.231]  Oh, he's our cameraman!
[02:39:07.591 --> 02:39:08.051]  Oh, really?
[02:39:08.711 --> 02:39:15.834]  So we looked him up online, and a resume for John Gurkovich, who is the guy named the so-called irate anti-Trump protester,
[02:39:16.772 --> 02:39:23.459]  And what we found correlates with Lemon's statements about a cameraman working for CNN and filming in 3rd World Nation.
[02:39:23.499 --> 02:39:24.260]  So it is him!
[02:39:25.301 --> 02:39:38.375]  They got a CNN employee to play the role of an anti-Trump agitator to drop this narrative, this butthurt, whiny, crybaby narrative that they want to change the rules of the game after they've lost the game.
[02:39:39.639 --> 02:39:45.264]  Again, they want to pretend, they want to argue that a field goal should have been worth six points after they already got crushed.
[02:39:45.404 --> 02:39:47.265]  Well, it isn't worth six points, sorry.
[02:39:47.846 --> 02:39:50.488]  You can't just invent new rules after the game's over.
[02:39:51.269 --> 02:39:52.550]  Get over it, you lost.
[02:39:53.551 --> 02:39:55.893]  But they're going to try and continue this narrative.
[02:39:56.393 --> 02:39:58.215]  And Michael Moore is firmly on board.
[02:39:59.144 --> 02:40:17.359]  The complete hypocrite who in June 2016 said he was voting for Bernie Sanders because Hillary Clinton was the corrupt Iraq war-voting Wall Street corporate establishment candidate who he would never vote for, lo and behold four months later, oh Hillary Clinton's great, everybody should go out and vote for her!
[02:40:19.164 --> 02:40:21.825]  Now, filmmaker Michael Moore, this is up on RT.
[02:40:22.465 --> 02:40:33.309]  Filmmaker Michael Moore has become a political beacon for devastated Hillary Clinton fans to move on and get S-H-I-T done after posting a five-point plan which went viral.
[02:40:34.110 --> 02:40:38.331]  And I mean, it got 400,000 Facebook likes, 880,000 shares.
[02:40:38.691 --> 02:40:43.273]  He then pointed another one, posted another one, which I put up on my Twitter.
[02:40:44.784 --> 02:40:50.933]  And he directly calls for people to follow the orders of MoveOn.org, which is owned by George Soros.
[02:40:51.654 --> 02:41:00.806]  So this is a guy who cut his teeth going after big business, going after the corrupt establishment, supposedly in the name of defending the rights of the middle class.
[02:41:01.647 --> 02:41:16.993]  Now he's openly telling people to obey George Soros, a billionaire, globalist, elitist, who specializes in overthrowing legitimately elected governments around the world.
[02:41:18.214 --> 02:41:19.814]  And look what we have with this narrative.
[02:41:19.975 --> 02:41:23.236]  Oh, Hillary won the popular vote, even though the popular vote isn't even being counted yet.
[02:41:24.096 --> 02:41:30.619]  She should just change the rules and march right into the Oval Office, because that's not what third world dictators do at all, is it?
[02:41:31.616 --> 02:41:36.097]  But Michael Moore, the tolerant liberal, the socialist, that's what he's pushing.
[02:41:36.137 --> 02:41:49.962]  He's telling people, follow the orders of George Soros and moveon.org, get out on the streets with these violent, bigoted, hateful, intolerant goons and start smashing crap up because you didn't get your own way.
[02:41:51.940 --> 02:41:53.841]  This is a narrative they're going to move forward with.
[02:41:53.881 --> 02:41:54.501]  Here's another one.
[02:41:54.942 --> 02:42:03.006]  Gateway Pundit reports, far-left group Answer Coalition plans massive demonstration unrest during Trump inauguration.
[02:42:04.066 --> 02:42:10.369]  Of course, in January, the post-election demonstrations against Trump are being orchestrated by socialists and Marxists.
[02:42:11.670 --> 02:42:12.851]  That's why they're so violent.
